Row,Quantity Per PCB,References,Value,Datasheet,Footprint,Description,Manufacturer,Manufacturer Part Number,Supplier 1,Supplier Part Number 1
1,3,C12 C13 C14,1n X7R 25V,https://www.yageo.com/upload/media/product/app/datasheet/mlcc/upy-ac_np0x7rx7s_6_3v-to-2kv.pdf,C_0402_1005_DensityHigh,"Unpolarized capacitor, small symbol",YAGEO,AC0402KRX7R8BB102,Digikey,311-3065-1-ND
2,6,C133 C134 C135 C136 C137 C138,3n3 X7R 100V,https://search.murata.co.jp/Ceramy/image/img/A01X/G101/ENG/GRM155R72A332KA01-01.pdf,C_0402_1005_DensityHigh,"Unpolarized capacitor, small symbol",Murata Electronics,GRM155R72A332KA01D,Digikey,490-8261-1-ND
3,1,C129,4n7 X7R 100V,https://www.murata.com/-/media/webrenewal/support/library/catalog/products/k35e.ashx?la=en-us&cvid=20200508021757000000,C_0402_1005_DensityHigh,"Unpolarized capacitor, small symbol",Murata Electronics,GCM155R72A472KA37D,Digikey,490-4765-1-ND
4,1,C76,10n X7R 100V,https://mm.digikey.com/Volume0/opasdata/d220001/medias/docus/2615/HMR105B7103KV-F_SS.pdf,C_0402_1005_DensityHigh,"Unpolarized capacitor, small symbol",Taiyo Yuden,HMR105B7103KV-F,Digikey,587-HMR105B7103KV-FCT-ND
5,1,C91,47n X7R 100V,https://connect.kemet.com:7667/gateway/IntelliData-ComponentDocumentation/1.0/download/datasheet/C0603C473K1RECAUTO,C_0603_1608_DensityHigh,"Unpolarized capacitor, small symbol",KEMET,C0603C473K1RECAUTO,Digikey,399-14764-1-ND
6,26,C3 C4 C5 C8 C10 C11 C27 C28 C29 C101 C102 C103 C104 C105 C107 C108 C109 C111 C112 C113 C114 C115 C125 C126 C127 C128,100n X7R 50V,https://search.murata.co.jp/Ceramy/image/img/A01X/G101/ENG/GCM155R71H104KE02-01.pdf,C_0402_1005_DensityHigh,"Unpolarized capacitor, small symbol",Murata Electronics,GCM155R71H104KE02J,Digikey,490-14514-1-ND
7,2,C22 C92,100n X7R 100V,https://mm.digikey.com/Volume0/opasdata/d220001/medias/docus/21/HMK107B7104KAHT_SS.pdf,C_0603_1608_DensityHigh,"Unpolarized capacitor Unpolarized capacitor, small symbol",Taiyo Yuden,HMK107B7104KAHT,Digikey,587-6009-1-ND
8,1,C90,100n X7R 16V,https://search.murata.co.jp/Ceramy/image/img/A01X/G101/ENG/GCM155R71C104KA55-01.pdf,C_0402_1005_DensityHigh,"Unpolarized capacitor, small symbol",Murata Electronics,GCM155R71C104KA55D,Digikey,490-4759-1-ND
9,3,C95 C97 C99,100n X7R 100V,https://connect.kemet.com:7667/gateway/IntelliData-ComponentDocumentation/1.0/download/datasheet/C1206C104K1RACAUTO,C_1206_3216_DensityHighest,"Unpolarized capacitor, small symbol",KEMET,C1206C104K1RACAUTO,Digikey,399-7008-1-ND
10,2,C23 C25,220n X7S 100V,https://mm.digikey.com/Volume0/opasdata/d220001/medias/docus/2249/TMK105B7224KV-FR_SS.pdf,C_0603_1608_DensityHigh,"Unpolarized capacitor, small symbol",Taiyo Yuden,HMK107C7224KAHTE,Digikey,587-5012-1-ND
