Ref,Val,Package,PosX,PosY,Rot,Side
"C31","4u7 X7R 100V","C_1206_3216_DensityHigh",29.000000,54.900000,0.000000,bottom
"C32","4u7 X7R 100V","C_1206_3216_DensityHigh",29.000000,52.900000,0.000000,bottom
"C33","4u7 X7R 100V","C_1206_3216_DensityHigh",5.650400,42.699900,180.000000,bottom
"C34","4u7 X7R 100V","C_1206_3216_DensityHigh",41.000000,50.900000,180.000000,bottom
"C35","4u7 X7R 100V","C_1206_3216_DensityHigh",41.000000,52.900000,180.000000,bottom
"C36","4u7 X7R 100V","C_1206_3216_DensityHigh",41.000000,54.900000,180.000000,bottom
"C39","4u7 X7R 100V","C_1206_3216_DensityHigh",5.650400,40.699900,180.000000,bottom
"C40","4u7 X7R 100V","C_1206_3216_DensityHigh",42.000400,40.699899,-90.000000,bottom
"C41","4u7 X7R 100V","C_1206_3216_DensityHigh",40.000400,40.699899,-90.000000,bottom
"C42","4u7 X7R 100V","C_1206_3216_DensityHigh",38.000400,40.699900,-90.000000,bottom
"C43","4u7 X7R 100V","C_1206_3216_DensityHigh",36.000400,40.699899,-90.000000,bottom
"C44","4u7 X7R 100V","C_1206_3216_DensityHigh",34.000401,40.699899,-90.000000,bottom
"C45","2u2 X7R 100V","R_0805_2012_DensityHigh",10.700400,30.799900,180.000000,bottom
"C46","4u7 X7R 100V","C_1206_3216_DensityHigh",32.000401,40.699900,-90.000000,bottom
"C47","4u7 X7R 100V","C_1206_3216_DensityHigh",30.000401,40.699901,-90.000000,bottom
"C48","4u7 X7R 100V","C_1206_3216_DensityHigh",28.000400,40.699899,-90.000000,bottom
"C51","4u7 X7R 100V","C_1206_3216_DensityHigh",29.000001,50.899999,0.000000,bottom
"C52","2u2 X7R 100V","R_0805_2012_DensityHigh",9.900400,32.999900,-90.000000,bottom
"C53","4u7 X7R 100V","C_1206_3216_DensityHigh",9.650400,40.699900,0.000000,bottom
"C54","4u7 X7R 100V","C_1206_3216_DensityHigh",9.650400,44.699900,0.000000,bottom
"C55","4u7 X7R 100V","C_1206_3216_DensityHigh",19.350400,36.899900,-90.000000,bottom
"C56","10u X7R 25V","C_0805_2012_DensityHighest",13.225397,32.999902,-90.000000,bottom
