Ref,Val,Package,PosX,PosY,Rot,Side
"C1","4u7 X7R 16V","C_0603_1608_DensityHigh",43.000400,12.849900,-135.000000,top
"C2","1u X7R 10V","C_0402_1005_DensityHigh",26.000400,24.799900,-135.000000,top
"C3","100n X7R 50V","C_0402_1005_DensityHigh",37.250400,24.374900,-45.000000,top
"C4","100n X7R 50V","C_0402_1005_DensityHigh",26.825400,18.999900,135.000000,top
"C5","100n X7R 50V","C_0402_1005_DensityHigh",32.550400,8.899900,135.000000,top
"C6","1u X7R 10V","C_0402_1005_DensityHigh",27.392557,20.142057,-135.000000,top
"C7","4u7 X5R 25V","C_0402_1005_DensityHigh",28.517557,21.267057,45.000000,top
"C8","100n X7R 50V","C_0402_1005_DensityHigh",42.425400,13.799900,-135.000000,top
"C9","1u X7R 10V","C_0402_1005_DensityHigh",43.090400,18.549900,-45.000000,top
"C10","100n X7R 50V","C_0402_1005_DensityHigh",27.967557,19.567057,-135.000000,top
"C11","100n X7R 50V","C_0402_1005_DensityHigh",29.092557,20.692057,45.000000,top
"C12","1n X7R 25V","C_0402_1005_DensityHigh",32.475400,24.649900,135.000000,top
"C13","1n X7R 25V","C_0402_1005_DensityHigh",30.825400,22.999900,135.000000,top
"C14","1n X7R 25V","C_0402_1005_DensityHigh",29.675400,21.849900,135.000000,top
"C15","2u2 X7R 100V","R_0805_2012_DensityHigh",11.070400,46.799900,0.000000,top
"C16","2u2 X7R 100V","R_0805_2012_DensityHigh",45.150400,32.699900,-135.000000,top
"C17","2u2 X7R 100V","R_0805_2012_DensityHigh",11.075400,42.989900,180.000000,top
"C18","2u2 X7R 100V","R_0805_2012_DensityHigh",49.650400,32.699900,45.000000,top
"C19","4u7 X7R 100V","C_1206_3216_DensityHigh",50.070400,24.449900,-135.000000,top
"C20","2u2 X7R 100V","R_0805_2012_DensityHigh",11.075399,41.451900,180.000000,top
"C21","4u7 X7R 100V","C_1206_3216_DensityHigh",44.920400,29.599900,-135.000000,top
"C22","100n X7R 100V","C_0603_1608_DensityHigh",10.890400,40.089900,180.000000,top
"C23","220n X7S 100V","C_0603_1608_DensityHigh",46.132600,28.537700,-135.000000,top
"C24","1u X7R 10V","C_0402_1005_DensityHigh",7.940400,36.986899,-90.000000,top
"C25","220n X7S 100V","C_0603_1608_DensityHigh",49.010400,25.659900,-135.000000,top
"C26","1u X7R 10V","C_0402_1005_DensityHigh",50.432350,28.722175,135.000000,top
"C27","100n X7R 50V","C_0402_1005_DensityHigh",7.940400,38.659900,-90.000000,top
"C28","100n X7R 50V","C_0402_1005_DensityHigh",50.287887,27.234217,45.000000,top
"C29","100n X7R 50V","C_0402_1005_DensityHigh",8.725400,42.749900,0.000000,top
"C30","15u X7R 25V","C_1210_3225_DensityHigh",42.035451,26.759951,45.000000,top
"C37","10u X7R 25V","C_0805_2012_DensityHighest",8.800399,40.911900,-90.000000,top
"C38","15u X7R 25V","C_1210_3225_DensityHigh",47.232689,21.562717,45.000000,top
"C49","4u7 X7R 100V","C_1206_3216_DensityHigh",17.350400,61.199901,180.000000,top
"C50","4u7 X7R 100V","C_1206_3216_DensityHigh",52.700400,59.199899,0.000000,top
"C66","4u7 X7R 100V","C_1206_3216_DensityHigh",17.350400,59.199900,180.000000,top
"C86","4u7 X7R 100V","C_1206_3216_DensityHigh",52.700400,61.199899,0.000000,top
"C88","1u X7R 25V","C_0603_1608_DensityHigh",38.850400,33.219900,-135.000000,top
"C89","4u7 X7R 100V","C_1206_3216_DensityHighest",42.700400,31.674900,-45.000000,top
"C90","100n X7R 16V","C_0402_1005_DensityHigh",31.575400,27.899900,-45.000000,top
"C91","47n X7R 100V","C_0603_1608_DensityHigh",40.610400,30.724900,-45.000000,top
"C92","100n X7R 100V","C_0603_1608_DensityHigh",39.700400,32.369900,45.000000,top
"C93","1u X7R 25V","C_0603_1608_DensityHigh",40.575400,28.999900,-45.000000,top
"C94","1u X7R 6.3V","C_0402_1005_DensityHigh",39.075400,28.549900,45.000000,top
"C95","100n X7R 100V","C_1206_3216_DensityHighest",47.825400,41.599900,180.000000,top
"C96","4u7 X7R 100V","C_1206_3216_DensityHighest",26.150400,41.599900,0.000000,top
"C97","100n X7R 100V","C_0805_2012_DensityHigh",35.050400,41.824900,0.000000,top
"C98","4u7 X7R 100V","C_1206_3216_DensityHighest",31.500400,41.599900,180.000000,top
"C99","100n X7R 100V","C_1206_3216_DensityHighest",22.000400,41.599900,180.000000,top
"C100","4u7 X7R 100V","C_1206_3216_DensityHighest",51.925400,41.599900,0.000000,top
"C101","100n X7R 50V","C_0402_1005_DensityHigh",14.750400,47.249900,90.000000,top
"C103","100n X7R 50V","C_0402_1005_DensityHigh",14.550400,35.774900,-90.000000,top
"C108","100n X7R 50V","C_0402_1005_DensityHigh",58.150401,34.899897,180.000000,top
"C109","100n X7R 50V","C_0402_1005_DensityHigh",54.750402,37.099900,90.000000,top
"C112","100n X7R 50V","C_0402_1005_DensityHigh",54.000400,25.399900,165.000000,top
"C113","100n X7R 50V","C_0402_1005_DensityHigh",13.829383,33.241456,15.000000,top
"C114","100n X7R 50V","C_0402_1005_DensityHigh",54.325382,26.604839,165.000000,top
"C115","100n X7R 50V","C_0402_1005_DensityHigh",14.160400,32.009900,15.000000,top
"C116","DNP","C_0402_1005_DensityHigh",53.951041,32.828800,-15.000000,top
"C117","DNP","C_0402_1005_DensityHigh",17.820291,26.872167,-165.000000,top
"C118","DNP","C_0402_1005_DensityHigh",53.743984,32.056062,-15.000000,top
"C119","DNP","C_0402_1005_DensityHigh",17.201025,29.190387,-165.000000,top
"C120","DNP","C_0402_1005_DensityHigh",53.120577,29.748788,-15.000000,top
"C121","DNP","C_0402_1005_DensityHigh",16.993965,29.963128,-165.000000,top
"C122","DNP","C_0402_1005_DensityHigh",52.913521,28.976051,-15.000000,top
"C123","DNP","C_0402_1005_DensityHigh",16.366333,32.305497,-165.000000,top
"C124","DNP","C_0402_1005_DensityHigh",52.302015,26.655242,-15.000000,top
"C126","100n X7R 50V","C_0402_1005_DensityHigh",17.500400,22.949900,45.000000,top
"C127","100n X7R 50V","C_0402_1005_DensityHigh",48.450400,18.349900,45.000000,top
"C128","100n X7R 50V","C_0402_1005_DensityHigh",51.090400,21.539900,-45.000000,top
"C129","4n7 X7R 100V","C_0402_1005_DensityHigh",60.700400,40.199900,-90.000000,top
"C130","1n X7R 1kV","C_0603_1608_DensityHigh",34.400000,7.650000,90.000000,top
"C131","1n X7R 1kV","C_0603_1608_DensityHigh",9.320000,55.280000,60.000000,top
"C132","1n X7R 1kV","C_0603_1608_DensityHigh",60.680770,55.280000,120.000000,top
"D3","BAT41KFILM","D_SOD-523",46.250400,39.799900,180.000000,top
"D4","BAT41KFILM","D_SOD-523",51.200400,37.449900,90.000000,top
"D5","BAT41KFILM","D_SOD-523",45.975400,37.449900,90.000000,top
"D6","BAT41KFILM","D_SOD-523",40.100400,41.324900,-90.000000,top
"D7","BAT41KFILM","D_SOD-523",27.075400,37.549900,90.000000,top
"D8","BAT41KFILM","D_SOD-523",32.925400,38.574900,0.000000,top
"D9","BAT41KFILM","D_SOD-523",20.400400,39.799900,180.000000,top
"D10","BAT41KFILM","D_SOD-523",25.275400,37.549900,90.000000,top
"D11","BAT41KFILM","D_SOD-523",20.075400,37.574900,90.000000,top
"D12","YELLOW","LED_SM1206",24.500400,10.249900,90.000000,top
"D13","GREEN","LED_SM1206",45.500400,10.249900,90.000000,top
"D16","PESD4USB5B-TBSX","SOT1176D",55.606167,31.724900,-15.000000,top
"D17","PESD4USB5B-TBSX","SOT1176D",14.972459,29.007357,-165.000000,top
"D18","PESD4USB3U-TBSX","SOT1176D",54.775400,28.631769,-15.000000,top
"D19","BAT41KFILM","D_SOD-523",38.000400,8.099900,-45.000000,top
"D20","BAT41KFILM","D_SOD-523",28.350400,11.099900,45.000000,top
"D21","BAT41KFILM","D_SOD-523",41.475400,11.574900,-45.000000,top
"D22","BAT41KFILM","D_SOD-523",30.500400,8.999900,45.000000,top
"D23","CDSOT23-SM712","SOT95P230X110-3N",22.371590,19.906572,45.000000,top
"D24","PESD2CANFD24V-UX","SOT95P230X117-3N",46.700400,63.749900,0.000000,top
"D25","PESD2CANFD24V-UX","SOT95P230X117-3N",30.150400,63.749900,0.000000,top
"D26","PESD4USB3U-TBSX","SOT1176D",49.687874,20.312430,-45.000000,top
"D27","CDSOT23-SM712","SOT95P230X110-3N",19.932072,22.346090,45.000000,top
"FB1","1k @ 100MHz","R_0805_2012_DensityHigh",27.300400,23.499900,-45.000000,top
"FB2","1k @ 100MHz","R_0805_2012_DensityHigh",11.070400,44.899900,0.000000,top
"FB3","1k @ 100MHz","R_0805_2012_DensityHigh",47.400400,32.699900,-135.000000,top
"FM1","Fiducial","Fiducial_1mm_Mask2mm",35.000400,74.999900,0.000000,top
"FM3","Fiducial","Fiducial_1mm_Mask2mm",22.200400,10.999900,0.000000,top
"FM5","Fiducial","Fiducial_1mm_Mask2mm",47.800400,10.999900,0.000000,top
"J3","Phase A","Pad_Square_Vias_6.5x6.5mm",54.100400,53.799900,180.000000,top
"J4","Phase B","Pad_Square_Vias_6.5x6.5mm",35.000400,53.799900,180.000000,top
"J5","Phase C","Pad_Square_Vias_6.5x6.5mm",15.900400,53.799900,0.000000,top
"J6","SM08B-GHS-TB","JST_GH_SM08B-GHS-TB_1x08-1MP_P1.25mm_Horizontal",59.140400,28.549900,75.000000,top
"J7","SM07B-GHS-TB","JST_GH_SM07B-GHS-TB_1x07-1MP_P1.25mm_Horizontal",10.840400,28.529900,-75.000000,top
"J10","SM06B-GHS-TB","JST_GH_SM06B-GHS-TB_1x06-1MP_P1.25mm_Horizontal",17.322731,17.297230,-45.000000,top
"J11","PTH 01x03 2.54mm","PTH_1x03_P2.54mm",35.000400,59.784900,180.000000,top
"J12","Nano-Fit 1x03","1054301203",43.250400,70.899900,180.000000,top
"J13","Nano-Fit 1x03","1054301203",26.750400,70.899900,180.000000,top
"J14","SM05B-GHS-TB","JST_GH_SM05B-GHS-TB_1x05-1MP_P1.25mm_Horizontal",52.675400,17.324900,45.000000,top
"L1","22u","L_Coilcraft_LPS4018",5.700400,41.519900,90.000000,top
"L2","22u","L_Coilcraft_LPS4018",44.987622,24.514891,-135.000000,top
"Q1","TPW1R306PL,L1Q","2-5S1A",51.100400,46.499900,-90.000000,top
"Q2","TPW1R306PL,L1Q","2-5S1A",44.700400,46.399900,90.000000,top
"Q3","TPW1R306PL,L1Q","2-5S1A",31.800400,46.499900,-90.000000,top
"Q4","TPW1R306PL,L1Q","2-5S1A",38.200400,46.399900,90.000000,top
"Q5","TPW1R306PL,L1Q","2-5S1A",25.300400,46.499900,-90.000000,top
"Q6","TPW1R306PL,L1Q","2-5S1A",18.885401,46.399900,90.000000,top
"Q7","PMV90ENER","SOT-23-3",27.400400,5.499900,180.000000,top
"Q8","PMV90ENER","SOT-23-3",42.600400,5.499900,0.000000,top
"R1","22R 1%","R_0402_1005_DensityHigh",31.925400,24.099900,135.000000,top
"R2","22R 1%","R_0402_1005_DensityHigh",31.375400,23.549900,135.000000,top
"R3","22R 1%","R_0402_1005_DensityHigh",30.250400,22.424900,135.000000,top
"R4","0R","R_0402_1005_DensityHigh",10.250398,36.436899,180.000000,top
"R5","100k 1%","R_0402_1005_DensityHigh",47.724627,29.797483,-135.000000,top
"R6","9k09 1%","R_0402_1005_DensityHigh",49.212586,29.941935,-45.000000,top
"R7","10k 1%","R_0402_1005_DensityHigh",11.500400,37.449900,-90.000000,top
"R8","2k 1%","R_0402_1005_DensityHigh",26.850400,13.349900,45.000000,top
"R9","2k 1%","R_0402_1005_DensityHigh",39.770400,9.299900,135.000000,top
"R10","7R5 1%","R_0805_2012_DensityHigh",49.625400,37.449900,-90.000000,top
"R11","7R5 1%","R_0805_2012_DensityHigh",47.575400,37.449900,90.000000,top
"R12","0m5 1% 2W","HCS1206FTL500",42.825400,40.574900,90.000000,top
"R13","7R5 1%","R_0805_2012_DensityHigh",28.600400,37.574900,90.000000,top
"R14","7R5 1%","R_0805_2012_DensityHigh",32.920401,37.024900,0.000000,top
"R15","0m5 1% 2W","HCS1206FTL500",38.000400,40.599900,90.000000,top
"R16","7R5 1%","R_0805_2012_DensityHigh",23.725400,37.524900,90.000000,top
"R17","7R5 1%","R_0805_2012_DensityHigh",21.625400,37.474900,90.000000,top
"R18","0m5 1% 2W","HCS1206FTL500",17.025400,40.558480,90.000000,top
"R21","100k 1%","R_0402_1005_DensityHigh",29.550400,6.299900,90.000000,top
"R22","100R 1% 1/5W","R_0402_1005_DensityHigh",29.550400,4.699900,-90.000000,top
"R23","100R 1% 1/5W","R_0402_1005_DensityHigh",24.500400,13.049900,180.000000,top
"R24","100k 1%","R_0402_1005_DensityHigh",40.450400,4.699900,-90.000000,top
"R25","100R 1% 1/5W","R_0402_1005_DensityHigh",40.450400,6.299900,90.000000,top
"R26","150R 1% 1/5W","R_0402_1005_DensityHigh",45.500400,13.049900,180.000000,top
"R27","10k 1%","R_0402_1005_DensityHigh",15.600400,47.249900,90.000000,top
"R29","100k 1%","R_0402_1005_DensityHigh",14.100400,37.124898,180.000000,top
"R30","4.7k 1%","R_0402_1005_DensityHigh",13.700400,35.774900,-90.000000,top
"R33","10k 1%","R_0402_1005_DensityHigh",58.140400,39.299900,180.000000,top
"R35","100R 1% 1/5W","R_0402_1005_DensityHigh",52.499413,27.430571,165.000000,top
"R36","100R 1% 1/5W","R_0402_1005_DensityHigh",52.706464,28.203310,165.000000,top
"R37","100R 1% 1/5W","R_0402_1005_DensityHigh",53.331168,30.515405,165.000000,top
"R38","100R 1% 1/5W","R_0402_1005_DensityHigh",53.536931,31.283323,165.000000,top
"R39","100R 1% 1/5W","R_0402_1005_DensityHigh",54.158093,33.601537,165.000000,top
"R40","100R 1% 1/5W","R_0402_1005_DensityHigh",16.579860,31.508609,15.000000,top
"R41","100R 1% 1/5W","R_0402_1005_DensityHigh",16.786912,30.735866,15.000000,top
"R42","100R 1% 1/5W","R_0402_1005_DensityHigh",17.408080,28.417649,15.000000,top
"R43","100R 1% 1/5W","R_0402_1005_DensityHigh",17.613236,27.644907,15.000000,top
"R44","2k 1%","R_0402_1005_DensityHigh",38.475400,9.124900,135.000000,top
"R45","2k 1%","R_0402_1005_DensityHigh",29.475400,10.574900,45.000000,top
