Id;Designator;Footprint;Quantity;Designation;Supplier and ref
1;J401;10159559410221RLF;1;10159559-410221RLF;https://www.mouser.ch/ProductDetail/Amphenol-FCI/10159559-410221RLF?qs=QNEnbhJQKvYRObzLKnxOfg%3D%3D&_gl=1*5a1qkq*_ga*dW5kZWZpbmVk*_ga_15W4STQT4T*dW5kZWZpbmVk*_ga_1KQLCYKRX3*dW5kZWZpbmVk
2;Q604,Q603,Q602,Q601;PG-TDSON-8_INF;4;BSC016N06NSATMA1 ;https://www.mouser.ch/c/?q=BSC016N06NSATMA1
3;IC601,IC602;SOP65P490X110-8N;2;LTC4372CMS8#TRPBF;https://www.mouser.ch/c/?q=LTC4372CMS8%23TRPBF
4;IC701;QFN50P700X800X80-53N-D;1;LTC3889EUKG#PBF;https://www.mouser.ch/ProductDetail/Analog-Devices/LTC3889EUKGPBF?qs=PqoDHHvF649NHHRjs4x%2FBA%3D%3D
5;R732,R739,R738,R735,R734,R733,R726;R_0402_1005_DensityHigh;7;2R 1% 1/8W;
6;R1107,R1106,R1105,R1104,R1103,R1102,R1101;R_0402_1005_DensityHigh;7;100R 1% 1/5W;
7;J1101;JST_GH_SM08B-GHS-TB_1x08-1MP_P1.25mm_Horizontal;1;SM08B-GHS-TB;
8;D1103,D1101;SOT1176D;2;PESD4USB5B-TBSX;
9;C726,C716;C_0603_1608_DensityHigh;2;2.2u X7R 25V;
10;C724,C717;C_0402_1005_DensityHigh;2;4.7u X5R 25V;
11;C718,C604,C602,C723,C708,C722,C713;C_0402_1005_DensityHigh;7;10n X7R 100V;
12;R902,R901,R730,R723,R731,R724;R_0402_1005_DensityHigh;6;10R 1% 1/8W;
13;R604,R602,R728,R727;R_0603_1608_DensityHigh;4;1k 1% 1/10W;
14;L901;XEL6060102MEC;1;1u XEL6060-102MEB;https://www.mouser.ch/ProductDetail/Coilcraft/XEL6060-102MEC?qs=gZXFycFWdAMb8GyiwdipeQ%3D%3D
15;D606,D604;D_SMA;2;SMAJ33A;https://www.mouser.ch/ProductDetail/Littelfuse/SMAJ33A?qs=2VFNtWizgicTApVO2JetGQ%3D%3D
16;D605,D603;D_SMA;2;SMAJ28A;https://www.mouser.ch/ProductDetail/Littelfuse/SMAJ28A?qs=zHiv0nsVGmqYVRcLXyWXFg%3D%3D
17;C907,C906,C903,C901,C706,C707,C732,C714,C701,C731;C_1210_3225_DensityHigh;10;10uF X7R 100V ;
18;C905,C904;Hybrid_G_VP;2;56u CAN 63V;
19;C902;C_1206_3216_DensityHigh;1;4u7 X7R 100V;
20;C603,C601,C702,C715,C407;C_0402_1005_DensityHigh;5;100n X7R 50V;
21;C709,C712;C_0402_1005_DensityHigh;2;33p X7R 25V;
22;R705,R704,R706,R711,R702,R703,R710,R709,R707,R708;R_0402_1005_DensityHigh;10;10k 1% 1/16W;
23;L702,L701;PQ2617BHA4R7K;1;4,7uH;https://www.mouser.ch/ProductDetail/Bourns/PQ2617BHA-4R7K?qs=1mbolxNpo8cgAdGZwpYZdg%3D%3D
24;C730,C704,C729,C705;Hybrid_G_VP;4;120u CAN 50V;
25;R717,R729;RESC6432X135N;2;3m 1% 3W;
26;C711,C710;C_0402_1005_DensityHigh;2;6.8n X7R 25V;
27;R701;R_0402_1005_DensityHigh;1;5k 1% 1/16W;
28;Q701,Q706,Q705,Q702;Infineon-IPG20N06S4L-26A-Manufacturer_Recommended;4; IPG20N06S4L26AATMA1;https://www.mouser.ch/ProductDetail/Infineon-Technologies/IPG20N06S4L26AATMA1?qs=LxJ0xX%2FWJR4CQfnZ1nkWOQ%3D%3D
29;C725,C703,C720;C_0402_1005_DensityHigh;3;1n X7R 100V;
30;R722,R716;R_0402_1005_DensityHigh;2;R;
31;R601,R603;R_0805_2012_DensityHigh;2;10R 1% 1/8W;
32;C607;C_0603_1608_DensityHigh;1;1u X7R 25V;
34;R725;R_2512_6332Metric_Pad1.40x3.35mm_HandSolder;1;2m 1% 3W;
35;D602,D601,D703;Diodes_Inc.-PowerDI123-03_2017-0-MFG;3;DFLS1100-7;https://www.mouser.ch/ProductDetail/Diodes-Incorporated/DFLS1100-7?qs=mQbszxtPdlOXqXCc0ekDEQ%3D%3D
36;Q703,Q704;SOT-23;2;PMBT3906,215;https://www.mouser.ch/ProductDetail/Nexperia/PMBT3906215?qs=LOCUfHb8d9s%252BlCdaN%2FFG0g%3D%3D
