Id;Référence;Empreinte;Quantité;Désignation;Fournisseur et réf
1;Y1101;7M25000MAAJT;1;7M-25.000MAAJ-T;
2;R1115,R1130,R1135,R1114,R1113,R1136,R1128,R1129;R_0402_1005_DensityHigh;8;4.75k 0.1% 1/16W;
3;J1104,J1103,J1102,J1105;1054301203;4;Nano-Fit 1x03;
4;C1145,C816,C1127,C1709,C1126,C1117,C1116,C901,C1105,C417,C1128,C1146,C808,C1121,C2001,C1115,C1102,C1139,C1140,C809,C416,C409,C1124,C407,C1001,C410,C1104,C403,C408,C1122,C1101,C1801,C815,C1206,C1119,C414,C1109,C1110,C1120,C404,C1112,C1123,C1113,C1701,C1125,C1147,C405,C1118;C_0402_1005_DensityHigh;48;100n X7R 50V;
5;R1132,R1133,R1125,R1131,R1134;R_0402_1005_DensityHigh;5;470R 1% 1/16W;
6;Molex_602,Molex_604,Molex_601,Molex_607,Molex_605,Molex_603,Molex_606,Molex_608;172448-YY02;8;~;
7;IC1501;SOP50P490X110-10N;1;TPS2490DGSRG4;
8;R805;R_0402_1005_DensityHigh;1;43k;
9;C817;C_0805_2012_DensityHighest;1;22u X7R 10V;
10;D1001,D901,D1301,D2501,D1401,D1302;SOT1176D;6;PESD4USB5B-TBSX;
11;C2103,C2102,C2105,C2201,C2202,C2203,C2204,C2104;C_0603_1608_DensityHigh;8;1n X7R 1kV;
12;L803;L_Coilcraft_LPS4018;1;22u;
13;FB1101,FB1103,FB1104,FB1102;BLM18SP221SN1B;4;BLM18PG330SN1D;
14;D504,D501,D503,D502;DIOM4336X24N;4;SMBJ51CD-M3/H;
15;C802,C1204;C_0805_2012_DensityHigh;2;100n X7R 100V;
16;D1102,D1104,D1105,D1103;SOT95P230X117-3N;4;PESD2CANFD24V-UX;
17;C805,C1205,C1148,C804;C_0805_2012_DensityHigh;4;2.2u X7R 25V;
18;R402,R403;R_0402_1005_DensityHigh;2;5.1k 1% 1/16W;
19;C1133,C1136;C_0402_1005_DensityHigh;2;18p NP0 50V;
20;R401;R_0402_1005_DensityHigh;1;33k 1% 1/16W;
21;C1141,C1143,C1142,C1144;C_0603_1608_DensityHigh;4;22n X7R 50V;
22;R1705,R1103;R_0603_1608_DensityHigh;2;47k 1% 1/10W;
23;R1101,R406,R1102,R405,R404;R_0402_1005_DensityHigh;5;10k 1% 1/16W;
24;R1502;R_1206_3216_DensityHigh_Large;1;10k 1% 1/4W;
25;R1505;RES_WSLP3921_.003OHM_VIS;1;0.3m;
26;C412,C413,C818,C415,C814,C820,C406;C_0402_1005_DensityHigh;7;1u X7R 10V;
27;R408,R407;R_0402_1005_DensityHigh;2;27R 1% 1/5W;
28;Q1102;SOT-23-3;1;MF-DSC-SOT233-BSS138;
29;L801;XEL4030682MEC;1;6u8;
30;C1207,C803;C_1210_3225_DensityHigh;2;10u X7R 25V;
31;D1504,D1505;LED_0603_1608Metric;2;GREEN;
32;IC1102;SOIC127P600X175-8N;1;M24C16-RMN6P;
33;R801;R_0603_1608_DensityHigh;1;34k 1% 1/4W;
34;FB1201,FB801;R_0805_2012_DensityHigh;2;1k @ 100MHz;
35;C1111;C_0402_1005_DensityHigh;1;1u X7R 50V;
36;R806,R803;R_0402_1005_DensityHigh;2;10k 1%;
37;F1301,F1401;FUSC6127X294N;2;0451015.MRL;
38;R1127,R1126;R_0603_1608_DensityHigh;2;10R 1% 1/8W;
39;SW1103,SW1101;CAS-220A_NDC-L;2;CAS-220TA;
40;R1704,R1706,R1703,R1507;R_0603_1608_DensityHigh;4;1k 1% 1/10W;
41;R1139,R1138,R1108,R1107;R_0603_1608_DensityHigh;4;60R4 1% 1/4W;
42;C1130,C1138,C1137,C1134,C1131,C1132,C1129,C1135;C_0603_1608_DensityHigh;8;15p X7R 50V;
43;R1123,R1124,R1117,R1122,R1120,R1119,R1118,R1121;R_0402_1005_DensityHigh;8;49.9R 0.1% 1/16W;
44;R1501;R_0603_1608_DensityHigh;1;212k 1% 1/10W;
